artist,location,country,latitude,longitude
Post Malone Featuring Morgan Wallen,United States,United States,39.7837304,-100.445882
Kendrick Lamar,United States,United States,39.7837304,-100.445882
Shaboozey,United States,United States,39.7837304,-100.445882
Sabrina Carpenter,United States,United States,39.7837304,-100.445882
Zach Bryan,United States,United States,39.7837304,-100.445882
Teddy Swims,United States,United States,39.7837304,-100.445882
Hozier,Ireland,Ireland,52.865196,-7.9794599
Benson Boone,United States,United States,39.7837304,-100.445882
Billie Eilish,United States,United States,39.7837304,-100.445882
Taylor Swift Featuring Post Malone,United States,United States,39.7837304,-100.445882
"Future, Metro Boomin & Kendrick Lamar",United States,United States,39.7837304,-100.445882
SZA,United States,United States,39.7837304,-100.445882
Ariana Grande,United States,United States,39.7837304,-100.445882
Noah Kahan,United States,United States,39.7837304,-100.445882
Zach Bryan Featuring Kacey Musgraves,United States,United States,39.7837304,-100.445882
Jack Harlow,United States,United States,39.7837304,-100.445882
Morgan Wallen Featuring ERNEST,United States,United States,39.7837304,-100.445882
Marshmello & Kane Brown,United States,United States,39.7837304,-100.445882
Central Cee & Lil Baby,England,England,52.5310214,-1.2649062
Sexyy Red,United States,United States,39.7837304,-100.445882
Dasha,United States,United States,39.7837304,-100.445882
GloRilla,United States,United States,39.7837304,-100.445882
Luke Combs,United States,United States,39.7837304,-100.445882
Taylor Swift,United States,United States,39.7837304,-100.445882
Chappell Roan,United States,United States,39.7837304,-100.445882
Bailey Zimmerman,United States,United States,39.7837304,-100.445882
Tate McRae,Canada,Canada,61.0666922,-107.991707
Artemas,United Kingdom,United Kingdom,54.7023545,-3.2765753
Djo,United States,United States,39.7837304,-100.445882
"Future, Metro Boomin, Travis Scott & Playboi Carti",United States,United States,39.7837304,-100.445882
GloRilla & Megan Thee Stallion,United States,United States,39.7837304,-100.445882
Nate Smith,United States,United States,39.7837304,-100.445882
Doja Cat,United States,United States,39.7837304,-100.445882
Sexyy Red & Drake,United States,United States,39.7837304,-100.445882
Gunna,United States,United States,39.7837304,-100.445882
Bryson Tiller,United States,United States,39.7837304,-100.445882
Beyonce,United States,United States,39.7837304,-100.445882
Chris Stapleton,United States,United States,39.7837304,-100.445882
Koe Wetzel,United States,United States,39.7837304,-100.445882
Jessie Murph & Jelly Roll,Nashville,Nashville,36.1622767,-86.7742984
Muni Long,United States,United States,39.7837304,-100.445882
21 Savage,United States,United States,39.7837304,-100.445882
Jelly Roll,Nashville,Nashville,36.1622767,-86.7742984
Drake,Canada,Canada,61.0666922,-107.991707
Travis Scott Featuring Playboi Carti,United States,United States,39.7837304,-100.445882
Cody Johnson,United States,United States,39.7837304,-100.445882
Luis R Conriquez x Neton Vega,Mexico,Mexico,19.4326296,-99.1331785
Olivia Rodrigo,United States,United States,39.7837304,-100.445882
¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,United States,United States,39.7837304,-100.445882
Bryan Martin,Canada,Canada,61.0666922,-107.991707
Cardi B,United States,United States,39.7837304,-100.445882
Dua Lipa,England,England,52.5310214,-1.2649062
BossMan DLow,United States,United States,39.7837304,-100.445882
Taylor Swift Featuring Florence + The Machine,United Kingdom,United Kingdom,54.7023545,-3.2765753
Tucker Wetmore,United States,United States,39.7837304,-100.445882
Bakar Featuring Summer Walker,United States,United States,39.7837304,-100.445882
Mark Ambor,United States,United States,39.7837304,-100.445882
Twenty One Pilots,United States,United States,39.7837304,-100.445882
Kehlani,United States,United States,39.7837304,-100.445882
Kenny Chesney,United States,United States,39.7837304,-100.445882
Tyler Hubbard,United States,United States,39.7837304,-100.445882
The Red Clay Strays,Mobile,Mobile,30.6913462,-88.0437509
Jordan Davis,United States,United States,39.7837304,-100.445882
Don Toliver,United States,United States,39.7837304,-100.445882
Sam Hunt,United States,United States,39.7837304,-100.445882
Ashley Cooke,United States,United States,39.7837304,-100.445882
Don Toliver Featuring Charlie Wilson & Cash Cobain,United States,United States,39.7837304,-100.445882
Shoreline Mafia Presents OhGeesy & Fenix Flexin,Los Angeles,Los Angeles,34.0536909,-118.242766
Fuerza Regida,Mexico,Mexico,19.4326296,-99.1331785
